customer_id,worker_id,cleaning,cooking,gardening,childcare,petcare,eldercare,shopping,homeorganize,handyman,tutoring,rating
59,4880,0,0,0,0,1,0,0,0,0,0,3
60,8211,1,1,1,1,1,0,1,1,1,1,1
61,9109,1,1,1,1,1,1,1,0,1,1,5
62,8015,1,1,0,0,1,0,1,1,1,0,4
63,7308,1,1,0,1,1,0,0,1,1,1,1
64,4362,0,0,0,0,1,0,0,0,0,0,1
65,1304,0,0,0,1,0,1,0,0,1,0,1
66,7835,0,0,0,0,0,0,0,0,0,1,3
67,5246,1,0,1,1,1,1,1,1,0,0,3
68,2650,1,0,1,1,1,0,1,1,1,1,1
69,6699,1,1,1,1,0,1,1,1,0,1,4
70,2477,0,1,1,0,0,0,0,1,1,1,2
71,9204,1,0,0,0,0,0,0,0,0,0,1
72,7338,1,1,0,0,0,1,0,0,0,0,3
73,1747,1,1,1,1,1,1,0,1,1,1,3
74,910,1,1,1,1,1,1,1,1,1,1,1
75,6171,0,0,0,0,0,0,0,1,0,1,5
76,8420,0,0,0,0,0,0,0,0,1,0,5
77,2617,0,0,0,0,1,0,0,1,1,0,4
78,3339,0,1,1,0,1,1,1,1,0,1,3
79,369,1,0,0,0,1,0,0,1,0,0,2
80,3782,0,0,1,1,0,0,1,0,0,1,4
81,3006,0,0,0,1,0,1,0,1,0,1,3
82,2570,1,0,1,1,1,1,1,1,1,1,1
83,4765,0,0,0,0,1,0,0,0,0,0,3
84,305,0,0,0,1,1,1,1,0,1,1,3
85,3073,1,1,1,1,0,0,1,1,1,1,3
86,843,1,1,1,1,1,1,1,1,1,1,3
87,8309,1,1,1,1,1,1,1,1,1,0,1
88,862,1,1,1,1,0,0,1,1,1,1,4
89,5237,0,0,1,1,1,1,1,1,0,1,3
90,9178,1,1,0,0,0,0,0,0,0,0,3
91,1117,0,0,0,1,0,0,0,1,0,0,2
92,266,1,0,1,1,1,1,1,1,1,0,3
93,59,1,1,0,0,0,0,0,1,0,0,2
94,6936,0,1,1,1,0,1,0,0,0,1,4
95,6780,0,0,0,1,0,0,0,0,0,0,5
96,6564,1,1,1,1,1,1,1,0,1,0,2
97,665,0,0,0,0,0,1,0,0,0,0,3
98,183,1,1,1,1,1,1,1,0,1,1,3
99,18,0,0,0,0,0,0,1,1,0,0,3
100,6011,0,0,1,0,0,0,0,0,0,0,2
101,7470,0,0,0,1,0,0,1,0,1,1,2
102,8117,0,1,1,1,1,1,1,1,0,0,1
103,9357,1,0,1,1,1,1,0,1,1,1,1
104,6288,1,1,1,1,0,1,1,0,1,1,3
105,9158,0,0,1,0,1,1,0,1,0,0,4
106,5851,1,0,0,1,0,0,1,1,1,1,5
107,9692,0,1,1,0,1,1,1,1,1,0,3
108,5945,0,1,1,0,0,0,1,1,0,0,3
109,1691,0,0,0,0,0,0,1,0,0,0,5
110,8395,0,0,1,1,0,0,0,0,1,0,5
111,8459,0,1,1,1,1,1,1,1,1,1,4
112,6203,1,0,0,0,1,1,0,0,0,0,3
113,9146,1,1,1,1,1,1,1,1,1,0,5
114,7891,1,0,0,1,1,1,1,0,1,1,1
115,3923,0,0,1,0,0,1,1,0,0,0,3
116,9598,1,1,0,1,1,1,1,0,1,0,1
117,7165,1,1,0,1,1,0,1,1,1,1,2
118,6572,0,1,1,1,1,1,1,1,1,1,1
119,1599,0,1,1,1,1,1,1,1,0,1,2
120,9363,1,1,1,1,1,1,1,1,1,1,2
121,2887,1,1,1,0,1,0,0,1,1,1,5
122,6198,0,0,0,1,1,0,0,0,0,0,1
123,7475,0,0,1,0,1,0,1,1,0,0,5
124,8814,0,0,0,0,0,0,1,0,0,1,3
125,2334,0,0,1,0,0,1,1,0,1,0,4
126,1105,0,1,0,0,1,1,0,0,0,1,1
127,108,1,1,1,1,1,1,0,1,1,1,1
128,9003,0,0,0,1,1,0,1,0,0,1,2
129,9228,0,0,0,0,0,0,0,0,1,0,5
130,2918,1,1,0,1,1,0,0,1,1,1,3
131,6521,1,1,1,1,1,1,1,1,1,1,4
132,79,1,0,0,0,0,1,1,1,1,1,5
133,6901,1,1,1,1,0,0,0,0,1,1,1
134,943,0,0,0,0,0,1,0,1,1,0,2
135,6272,1,0,0,0,0,0,1,0,0,0,4
136,7084,1,0,1,1,1,1,1,1,1,1,4
137,8089,1,1,1,1,1,1,1,0,1,1,2
138,6964,0,0,0,1,0,1,0,0,1,1,1
139,4045,0,0,1,1,0,0,1,0,0,1,1
140,4555,1,1,1,1,1,1,0,1,1,1,1
141,6056,1,1,1,1,1,1,1,1,1,1,5
142,6580,0,1,1,1,0,1,1,1,1,1,2
143,5458,0,0,1,1,0,0,0,0,1,1,3
144,8886,1,0,1,1,1,0,0,1,0,1,4
145,4474,0,0,0,1,1,0,1,1,0,0,1
146,8381,0,0,0,1,0,0,0,0,0,1,5
147,4219,0,0,1,1,0,1,0,1,0,1,5
148,7106,1,0,1,1,1,1,1,1,1,1,3
149,9229,1,1,0,1,1,1,1,1,1,1,4
150,6838,1,1,1,1,0,1,0,1,1,1,4
151,9301,0,1,1,0,1,0,1,1,0,1,5
152,9229,1,1,1,0,1,1,1,0,1,1,1
153,8198,1,1,1,1,1,1,1,1,1,1,4
154,5870,1,0,1,1,1,1,0,1,1,0,2
155,9879,0,0,0,0,1,0,0,0,1,0,1
156,882,0,1,0,1,1,1,1,0,1,1,3
157,5036,1,1,1,1,1,1,1,1,1,1,1
158,104,1,1,0,0,1,0,1,0,1,1,5
159,9054,1,1,0,1,1,1,1,1,1,1,3
160,3433,0,1,1,1,1,0,1,1,0,1,5
161,5244,1,0,1,1,1,1,0,1,0,1,5
162,266,1,0,1,1,0,1,1,0,0,1,2
163,9682,0,0,1,1,1,0,0,0,0,0,5
164,4057,1,0,0,1,1,1,1,1,1,1,4
165,6151,1,0,0,0,0,0,0,0,0,0,1
166,1991,0,1,1,1,1,1,1,0,0,0,2
167,7406,0,1,1,0,0,0,0,0,0,1,3
168,4126,1,1,1,1,1,1,0,0,1,1,1
169,3278,1,0,1,1,1,1,1,0,1,1,4
170,487,1,1,0,1,1,0,1,1,1,0,4
171,7082,0,0,0,1,1,1,1,1,0,1,2
172,9077,1,1,1,0,1,1,0,0,0,0,4
173,5311,0,1,1,0,0,0,0,0,1,1,3
174,7317,0,0,1,1,1,1,0,1,1,1,2
175,602,1,0,1,1,1,1,0,1,0,1,1
176,9784,1,1,0,0,0,1,0,0,0,1,5
177,1865,1,1,0,1,0,1,1,1,0,1,2
178,6472,1,1,1,1,1,1,1,1,1,1,3
179,5388,1,1,0,1,0,0,0,0,0,0,4
180,3157,0,1,1,1,1,0,0,1,1,1,5
181,7740,1,1,1,1,1,1,1,1,1,1,4
182,3457,1,1,1,1,1,1,1,1,1,1,4
183,4431,1,1,1,1,1,1,1,1,1,1,3
184,9014,1,1,1,1,1,1,1,1,1,1,4
185,8849,1,1,1,1,0,1,1,1,1,1,5
186,2046,1,1,1,1,0,0,1,1,0,0,4
187,8287,0,0,0,1,0,0,0,0,1,0,1
188,9038,1,0,0,1,1,0,1,0,0,0,1
189,7593,0,1,1,0,1,0,0,0,1,1,4
190,7694,1,0,0,0,1,0,0,1,0,0,3
191,1447,0,0,1,1,0,1,0,0,0,1,1
192,3652,0,1,0,0,1,1,1,1,0,0,5
193,2907,1,0,1,0,1,1,0,0,1,1,4
194,8354,0,0,0,0,0,0,0,0,0,1,2
195,7974,0,0,1,1,0,1,0,1,0,1,5
196,9625,1,0,1,1,1,1,0,0,0,1,1
197,8373,1,1,1,1,1,1,1,1,1,1,5
198,3688,0,0,0,1,1,1,1,1,1,0,1
199,2835,0,1,0,0,1,1,0,0,0,1,5
200,7634,1,1,1,1,1,1,1,1,0,0,3
201,3157,0,0,0,0,1,0,0,1,0,1,3
202,3767,1,1,1,1,1,1,1,1,1,1,3
203,6075,1,0,0,1,1,1,0,0,1,1,1
204,4228,0,1,0,0,0,0,0,0,1,0,4
205,4306,1,1,1,1,1,1,0,1,0,1,4
206,9775,0,0,0,0,0,1,1,1,0,1,3
207,1663,0,1,1,0,0,0,0,0,1,1,1
208,2347,0,1,1,1,1,1,1,0,1,0,5
209,3554,0,0,0,0,0,1,0,0,1,0,4
210,8699,1,1,0,0,1,1,1,1,1,1,1
211,4432,1,1,1,1,1,1,0,1,1,0,5
212,6363,0,1,1,1,1,1,0,1,1,1,2
213,4718,1,0,1,0,1,1,1,1,1,1,2
214,6095,1,1,1,0,1,0,0,0,0,0,4
215,5579,1,1,1,1,1,1,1,1,1,1,1
216,7691,1,1,1,1,1,1,1,1,1,1,1
217,6612,1,0,0,0,1,0,0,1,1,0,1
218,1889,1,1,1,1,1,1,1,1,1,1,2
219,2294,0,0,0,0,0,0,0,0,0,1,2
220,7827,0,1,0,1,1,1,1,1,1,0,2
221,374,1,0,0,0,0,0,0,0,1,0,4
222,144,1,1,1,0,0,1,0,1,0,1,5
223,8896,0,0,0,0,0,0,1,1,0,0,5
224,5629,0,1,1,1,1,0,1,1,1,0,3
225,8732,0,0,0,0,1,0,1,1,1,0,4
226,6153,0,0,0,0,0,0,0,0,1,1,4
227,515,1,0,0,0,1,0,1,1,1,0,2
228,3757,0,0,1,0,0,0,0,0,1,0,5
229,1783,1,0,0,1,1,1,1,0,1,0,2
230,5375,0,0,0,1,1,0,1,0,1,0,5
231,426,1,0,0,0,0,1,0,0,0,0,4
232,7280,1,0,1,1,0,1,0,1,1,1,2
233,8193,0,0,0,1,1,1,0,1,1,1,2
234,5014,0,0,0,0,0,0,0,0,0,1,4
235,1302,0,0,0,1,0,0,1,0,0,0,4
236,9942,1,1,1,1,1,1,1,1,1,1,2
237,2392,1,1,1,1,1,1,1,1,1,1,2
238,3641,0,1,0,0,1,0,0,1,1,1,2
239,9787,1,1,0,0,1,1,1,1,0,0,4
240,8312,0,1,0,1,0,0,0,0,0,1,4
241,1225,0,1,0,1,0,0,0,0,0,0,5
242,9582,1,0,0,0,0,0,0,1,0,0,2
243,1967,1,1,1,1,1,1,1,0,1,1,2
244,371,1,0,1,1,1,1,1,1,1,1,3
245,5182,1,0,0,0,0,0,0,1,0,1,2
246,1933,0,0,1,1,0,0,1,0,1,1,3
247,5163,0,0,1,1,1,0,1,1,0,0,5
248,7757,1,1,1,0,1,0,0,1,1,1,1
249,8648,0,1,0,1,1,1,1,0,1,1,5
250,6469,1,0,1,1,0,0,1,1,1,0,4
251,9243,1,0,0,0,0,0,1,1,1,1,1
252,1241,1,1,1,1,0,0,0,1,0,0,5
253,3032,0,0,0,1,1,1,1,0,1,0,2
254,853,1,1,1,1,1,1,1,1,0,1,5
255,8802,1,1,1,1,1,1,1,1,1,1,3
256,2549,1,0,0,0,1,1,0,0,1,1,5
257,405,1,1,1,1,0,0,1,1,1,0,4
258,4367,1,1,1,0,0,1,0,0,1,1,4
259,3622,0,0,1,1,0,1,0,1,1,0,4
260,8774,0,0,1,1,1,1,1,1,1,1,4
261,1755,0,1,0,0,0,0,0,1,1,0,4
262,5359,0,0,0,1,0,0,0,0,0,1,3
263,9692,1,0,0,0,0,1,0,0,0,0,3
264,5653,0,0,0,1,0,0,0,0,0,1,2
265,33,0,1,0,1,0,1,1,1,1,0,3
266,8913,1,1,1,1,1,1,1,1,1,1,3
267,7284,0,1,0,0,0,0,0,0,0,1,1
268,3147,1,0,1,1,1,1,1,1,1,1,1
269,8953,1,0,0,0,0,0,1,1,0,0,3
270,8943,0,0,1,0,0,0,0,0,1,0,3
271,672,0,1,1,1,0,0,1,1,0,0,2
272,4408,0,0,1,1,1,0,1,0,1,0,3
273,3633,0,1,0,1,1,0,1,1,1,0,2
274,7945,0,1,1,0,1,0,1,1,1,0,1
275,5244,0,0,0,0,0,0,0,0,0,1,2
276,8528,0,0,0,0,0,0,1,1,0,1,1
277,4447,1,1,0,1,0,1,1,0,0,0,1
278,7685,1,1,1,1,0,0,1,1,1,0,4
279,479,1,0,1,1,1,1,1,1,1,1,1
280,2696,0,1,0,1,0,1,1,1,1,0,3
281,703,1,0,0,0,0,1,1,1,1,0,3
282,8858,1,0,0,0,0,0,0,0,1,0,2
283,5029,0,1,1,0,0,0,0,1,0,1,1
284,3694,1,1,0,1,1,1,1,1,1,1,2
285,6250,0,0,0,0,0,0,0,0,0,1,2
286,9350,1,0,0,0,1,0,0,1,0,1,5
287,254,0,0,1,0,1,0,0,0,0,1,4
288,7610,1,0,1,0,1,0,0,1,1,1,3
289,3177,1,1,1,1,1,1,1,0,1,1,1
290,3098,0,1,1,1,0,0,0,1,1,1,1
291,941,1,0,1,1,0,1,0,1,1,0,1
292,9783,1,0,1,1,0,1,0,1,1,1,3
293,9417,1,1,1,0,1,0,1,1,1,1,2
294,844,0,1,0,1,0,1,1,1,0,0,4
295,120,1,1,0,1,0,1,0,1,1,1,5
296,7513,0,0,0,0,1,0,1,0,1,0,3
297,6455,1,0,1,1,0,0,0,1,0,1,1
298,6392,1,1,1,0,1,0,1,0,1,0,3
299,1770,1,0,1,1,0,1,1,0,0,1,3
300,1680,1,1,1,1,1,1,1,1,1,1,1
301,4025,1,1,0,1,1,1,1,0,1,0,3
302,3196,0,0,0,1,1,0,0,1,1,1,2
303,3928,0,0,0,0,0,0,0,1,0,0,5
304,4967,1,0,1,1,1,1,1,0,1,1,4
305,3582,0,0,0,1,0,0,0,1,1,0,3
306,8654,0,1,1,1,1,0,0,1,0,0,2
307,8320,0,1,1,1,1,0,1,1,1,1,1
308,1216,1,1,1,1,1,1,1,1,1,1,3
309,7613,0,0,1,0,0,0,0,0,1,0,2
310,6454,0,1,1,0,0,0,0,1,1,0,3
311,1454,0,1,1,1,0,1,0,1,1,0,5
312,1958,0,0,1,0,0,0,1,0,1,1,2
313,1174,1,0,1,0,0,1,1,1,1,1,3
314,3739,1,1,1,1,0,1,1,0,1,1,3
315,1296,0,1,1,0,1,0,0,1,1,0,5
316,7072,1,1,0,0,0,0,0,0,0,0,3
317,8731,1,1,1,1,1,0,1,1,1,1,2
318,6089,1,1,1,1,1,1,1,1,1,1,5
319,5443,1,0,0,0,1,0,1,0,1,0,5
320,8593,1,0,1,1,1,0,0,0,1,0,5
321,6588,1,0,1,1,1,0,1,0,1,1,1
322,3365,0,0,0,0,0,0,1,1,0,0,3
323,1626,0,1,1,0,1,0,1,1,0,0,5
324,118,0,0,1,0,0,0,0,0,0,0,2
325,5244,1,0,0,1,1,0,0,1,1,0,2
326,7275,0,1,1,1,0,1,0,1,1,1,2
327,1117,1,1,1,1,1,0,1,1,1,0,4
328,2789,1,1,1,0,1,1,1,1,1,1,2
329,5489,1,1,1,1,0,0,0,1,1,1,2
330,2382,0,0,0,1,0,0,0,0,1,0,1
331,2519,0,0,1,0,0,0,1,0,0,0,4
332,8869,0,1,0,1,0,0,1,0,1,0,1
333,1403,0,0,0,1,1,0,0,0,0,0,1
334,3769,0,0,0,1,0,0,0,1,1,1,5
335,1321,0,1,1,0,0,0,0,0,0,0,2
336,3965,1,1,1,1,1,1,0,1,1,1,2
337,7892,0,1,0,1,1,0,1,1,0,0,1
338,5941,1,1,1,1,0,1,1,1,1,1,4
339,5486,0,0,0,0,0,0,1,0,0,0,1
340,3129,0,0,0,0,0,1,0,0,0,0,5
341,6979,1,0,1,0,1,1,1,0,1,1,3
342,5880,1,0,1,1,1,1,1,1,1,1,2
343,5819,0,1,1,1,0,0,1,0,1,1,3
344,2459,0,0,0,1,1,1,0,1,0,1,4
345,2318,1,1,1,1,1,1,1,0,1,1,4
346,5774,1,1,1,1,1,1,1,1,1,1,4
347,7462,0,1,1,1,1,1,1,1,0,1,2
348,1969,0,0,1,0,0,0,0,1,1,0,5
349,9378,1,1,1,0,1,1,1,1,1,1,5
350,4634,0,1,0,0,0,0,0,0,0,0,1
351,5488,0,0,1,0,0,0,1,1,0,0,4
352,349,1,1,1,1,0,1,1,1,1,1,2
353,4525,1,1,1,0,0,1,1,0,1,1,5
354,1288,1,1,1,1,1,0,1,1,1,1,4
355,8246,1,1,1,0,0,1,0,0,0,0,5
356,5493,1,1,1,1,0,1,0,1,0,1,5
357,1232,1,0,0,0,0,1,0,0,0,1,5
358,5521,1,1,1,1,1,1,1,1,1,0,5
359,6869,0,0,0,1,1,0,1,0,0,1,5
360,8153,0,1,1,0,1,0,0,0,1,0,2
361,2805,1,1,0,1,0,0,0,0,1,1,4
362,9597,1,0,1,1,0,0,0,1,1,1,2
363,5097,0,1,0,1,1,1,0,0,1,1,1
364,9974,0,0,0,0,0,1,0,0,1,0,5
365,8425,0,0,1,0,0,0,0,0,0,0,1
366,2164,1,1,1,1,0,0,1,0,1,1,2
367,1080,0,0,0,0,0,0,0,0,1,0,4
368,6102,1,1,1,1,1,1,1,1,0,1,1
369,4183,0,1,0,1,0,1,1,1,1,0,4
370,9618,1,0,1,0,0,0,0,0,1,1,4
371,6303,1,0,1,1,1,1,0,1,1,1,3
372,5005,0,1,1,1,0,1,0,1,1,0,2
373,1196,0,0,0,0,0,0,1,0,0,0,1
374,6446,1,1,0,1,0,1,0,0,1,1,5
375,6119,1,1,1,1,1,1,1,1,1,1,1
376,4728,1,0,1,1,0,1,1,0,1,1,2
377,4579,1,1,1,1,1,1,1,1,0,1,3
378,709,0,0,0,0,1,1,0,0,1,1,3
379,1116,0,0,0,0,0,0,0,0,1,1,4
380,831,0,0,0,0,0,0,1,0,0,0,2
381,9296,0,1,1,1,1,1,0,1,1,1,1
382,7807,1,0,0,0,0,0,0,0,0,0,2
383,4596,1,1,1,1,0,1,1,1,1,1,2
384,1179,1,0,0,0,0,0,0,0,0,0,3
385,4682,1,0,0,0,1,1,0,0,0,1,4
386,5063,0,1,1,0,0,0,0,0,0,1,2
387,7332,0,1,0,0,1,1,0,1,0,1,1
388,7798,0,0,0,1,0,0,1,1,0,1,2
389,4199,0,1,1,1,1,0,1,0,0,1,1
390,4958,1,0,0,0,0,0,0,1,1,1,1
391,2318,1,0,1,0,0,0,1,0,1,1,3
392,8740,1,1,1,1,1,1,1,1,1,1,5
393,1763,1,0,1,1,1,1,0,0,1,1,5
394,7652,1,1,1,0,1,0,1,1,1,1,4
395,813,1,1,1,1,1,1,0,1,1,1,1
396,1260,1,1,0,0,1,0,1,1,1,1,1
397,6389,1,0,1,1,1,1,1,1,1,0,1
398,7266,1,0,1,0,1,1,1,0,1,1,5
399,4681,0,0,0,0,0,1,0,1,0,0,4
400,9371,0,0,1,0,0,0,1,0,1,1,4
401,7613,1,0,0,0,1,1,1,1,0,1,4
402,5667,1,0,0,0,0,0,0,0,1,0,4
403,4401,0,1,1,1,1,1,1,1,1,1,4
404,7644,1,1,1,1,0,0,1,1,1,1,5
405,5710,1,1,1,0,1,1,0,1,1,0,4
406,3325,0,1,1,0,0,0,0,0,0,0,3
407,4273,1,1,1,0,1,1,0,1,0,0,1
408,6927,0,1,0,0,0,1,0,0,0,0,3
409,7191,0,0,1,0,1,1,1,1,0,1,4
410,4805,1,0,0,0,0,1,0,0,0,1,1
411,980,1,1,1,1,0,1,1,1,0,1,3
412,8325,0,0,0,1,0,0,0,1,0,0,5
413,4670,1,1,0,1,1,1,1,1,1,1,1
414,4772,0,0,1,1,1,1,1,1,1,0,4
415,4541,1,1,1,1,0,0,0,0,0,0,1
416,2712,0,1,1,0,1,0,0,1,1,1,4
417,7757,1,1,1,1,1,1,1,1,1,1,3
418,2431,0,1,1,0,1,1,1,1,1,0,2
419,7407,1,0,1,1,1,0,1,1,0,1,4
420,356,1,1,1,1,1,1,1,1,1,1,4
421,4959,1,0,0,0,1,0,0,0,0,1,4
422,3569,0,0,0,1,1,0,1,0,1,0,1
423,6552,0,1,1,0,1,0,0,1,1,0,5
424,4959,0,0,0,0,0,0,1,1,1,0,2
425,6616,0,0,0,0,0,0,1,1,1,0,1
426,3575,1,1,1,1,1,1,1,1,1,1,4
427,4214,0,0,1,0,0,0,0,0,0,0,1
428,6185,0,1,0,0,0,0,1,0,0,1,5
429,9588,1,1,0,0,1,1,0,0,0,1,2
430,333,1,0,0,0,1,0,0,0,1,0,4
431,7053,0,1,1,1,1,1,1,1,1,0,4
432,416,1,0,1,0,1,1,1,0,0,0,2
433,8408,1,0,0,1,1,1,0,0,0,1,2
434,6564,0,1,0,1,0,0,0,0,1,0,4
435,9162,0,0,1,0,0,0,0,0,1,0,4
436,8631,1,1,1,1,1,1,1,1,1,1,4
437,9299,0,0,1,1,1,0,1,1,1,1,2
438,3810,1,1,1,1,0,0,0,1,0,1,4
439,1539,1,0,0,1,1,0,1,0,0,1,4
440,5741,0,0,1,0,0,0,0,0,0,0,5
441,3557,1,1,1,1,1,1,1,1,1,1,3
442,2546,0,0,1,1,0,0,0,0,0,0,5
443,7513,1,0,0,1,1,1,1,1,1,1,3
444,1903,0,0,0,1,0,1,0,0,1,0,4
445,7474,1,0,0,1,0,0,1,1,1,1,2
446,9527,0,0,0,0,0,0,0,1,1,0,5
447,1318,0,0,0,0,0,1,0,0,0,1,5
448,4653,0,0,0,0,0,1,0,1,1,1,2
449,3468,0,0,1,1,0,1,1,1,0,1,4
450,5691,1,0,1,0,0,0,0,0,0,1,5
451,6316,0,0,0,1,1,1,1,1,1,0,2
452,6715,0,0,0,1,1,0,0,0,0,0,3
453,9189,0,0,0,0,1,0,0,1,0,0,4
454,8988,1,1,1,1,1,1,1,1,1,0,2
455,1630,1,1,1,1,1,0,1,0,0,0,3
456,1383,0,1,1,1,1,0,0,1,1,0,3
457,126,0,0,0,0,0,0,0,1,0,0,4
458,7896,1,0,0,1,0,0,0,1,0,0,1
459,6593,0,0,0,0,0,0,0,0,1,0,3
460,1910,1,1,1,1,1,1,1,1,1,1,3
461,1158,0,0,1,0,0,1,1,1,0,1,3
462,8303,1,1,1,1,1,0,0,1,1,1,5
463,2457,1,1,1,1,1,1,1,1,1,1,2
464,8100,1,0,1,1,1,1,1,1,1,1,1
465,7139,1,1,0,1,1,1,0,1,1,1,3
466,8749,0,0,0,0,1,0,0,0,0,0,1
467,7304,1,1,1,1,1,1,1,1,1,1,1
468,9673,0,1,1,0,0,1,1,0,0,1,2
469,4675,1,1,1,1,1,1,1,1,1,1,2
470,2606,0,1,0,0,0,0,1,1,1,0,1
471,3042,0,0,0,0,0,1,0,1,0,0,5
472,7494,0,0,0,0,0,0,0,0,0,1,2
473,6177,1,1,1,1,1,1,1,1,0,1,4
474,8883,1,1,0,1,1,0,0,0,1,0,5
475,8116,0,0,0,1,0,0,1,0,1,1,3
476,8978,0,1,0,0,1,0,0,0,0,0,4
477,1211,1,1,1,1,1,1,1,0,1,1,4
478,1317,0,0,0,0,1,0,1,0,0,0,1
479,9699,0,0,0,0,0,0,1,0,0,0,1
480,7166,0,0,0,0,0,0,0,0,0,1,3
481,87,1,1,1,1,1,0,1,1,1,1,1
482,9993,0,0,0,0,0,1,1,0,0,1,2
483,7423,1,1,1,1,1,1,1,1,1,1,3
484,2813,1,0,0,0,0,0,0,0,1,0,2
485,8948,1,1,0,0,1,1,1,1,0,1,2
486,9552,1,1,0,0,1,1,0,1,0,0,5
487,4378,0,0,0,0,0,0,0,1,1,0,4
488,190,0,0,1,0,0,0,0,0,0,0,1
489,8641,0,0,0,0,0,1,1,0,1,0,2
490,1493,0,0,0,0,0,0,0,1,0,0,2
491,8966,1,0,0,0,0,1,0,1,0,0,2
492,9941,1,1,1,1,1,1,0,1,0,1,2
493,5378,1,1,1,1,1,0,1,1,1,0,5
494,2965,1,1,0,0,0,0,0,0,1,1,5
495,5265,1,1,1,1,1,0,1,1,1,1,5
496,208,0,1,0,0,0,1,1,0,0,1,4
497,2283,1,1,1,0,1,0,1,1,0,1,2
498,2327,0,0,0,0,0,0,1,1,0,1,4
499,1143,1,1,0,1,0,1,0,1,1,1,1
500,207,0,0,1,0,0,1,0,0,0,1,2
501,6049,0,0,1,1,0,0,0,0,0,0,3
502,4363,0,1,1,0,1,1,0,1,0,1,5
503,1600,0,1,1,0,0,1,1,0,1,1,3
504,711,1,0,0,0,0,0,0,0,0,1,3
505,6340,1,0,1,0,0,0,0,0,0,0,3
506,9068,1,0,1,1,0,1,0,0,0,1,4
507,819,0,1,1,0,0,1,0,1,1,1,5
508,9574,1,1,1,0,1,1,1,1,0,0,2
509,9039,1,1,1,1,1,1,1,1,1,1,3
510,1369,0,0,0,1,1,1,0,1,0,1,1
511,1258,1,1,1,1,0,1,1,1,1,1,5
512,5410,0,1,1,1,1,0,1,1,1,1,1
513,4439,0,0,1,0,1,1,0,0,1,1,4
514,9901,1,0,1,0,0,1,1,0,0,0,3
515,530,1,1,0,0,0,0,0,0,0,0,5
